Industry,CASH_AND_CASH_EQUIVALENTS_floored1,COST_OF_GOODS_SOLD_1,CURRENT_ASSETS_1,CURRENT_LIABILITIES_1,DEPRECIATION_1,EBITDA_1,FIXED_AND_NON_CURRENT_ASSETS_1,GROSS_PROFIT_1,INTEREST_EXPENSE_1,LONG_TERM_DEBT_1,NET_FIXED_ASSETS_1,NET_INCOME_1,NET_INTANGIBLES_1,NET_TRADE_RECV_1,NON_CURRENT_LIABILITIES_1,RETAINED_EARNINGS_1,TOTAL_ASSETS_1,TOTAL_DEBT_1,TOTAL_INVENTORY_1,TURNOVER_1,WORKING_CAPITAL_1,Debt_to_TNW_1,Equity_to_Liability_1,Equity_to_Assets_1,Long_Term_Debt_to_Equity_1,NetFixedAssets_to_TotalDebt_1,Total_Liab_to_Total_Assets_1,EBITDA_to_total_Debt_1,EBITDA_to_Interest_1,EBITDA_to_curr_liab_1,Cash_to_Total_assets_1,Current_Ratio_1,Liquidity_Ratio_1,Curr_to_Total_Assets_1,Gross_Margin_perc_1,Net_Income_Margin_1,Total_Liab_to_Total_Assets_2_1,Default
Wholesale,2049655,3651657,2845424,3543437,8988,1061660,13495003,2857523,115313,2919393,1309938,720373,22510,253491,8136830,4216182,16340427,8952110,340369,6509180,-698013,1.9303,0.399,0.2852,0.6265,0.1463,0.7148,0.1186,9.2067,0.2996,0.1254,0.803,0.65,0.1741,43.8999,11.067,-0.0799,0
Agriculture - Dairy,-644364,37936,123698,847831,1612,63276,1082934,105887,23533,,1015638,38131,66909,,,358801,1206632,839809,110503,143823,-724132,2.8771,0.4232,0.2974,,1.2094,0.7026,0.0753,2.6888,0.0746,0,0.1459,,0.1025,73.6232,26.5123,0.0045,0
Retail,1092,326152,28268,228,,87332,364079,125387,,284311,336424,87332,27655,,284311,107808,392347,284311,25654,451539,28040,3.5471,0.3789,0.2748,2.6372,1.1833,0.7252,0.3072,,8.4613,0.0028,14.2506,,0.072,27.7688,19.341,-0.0093,0
Transport,483648,4300787,2285047,1445124,108219,354095,3042968,551591,25118,492716,3039857,184578,0,1426705,564077,3317565,5328015,569165,366086,4852378,839923,0.1715,1.6518,0.6229,0.1485,5.3409,0.3771,0.6221,14.0974,0.245,0.0908,1.5812,1.3219,0.4289,11.3674,3.8039,-0.0103,0
Manufacture,21701,1532607,950478,717216,40179,387749,221606,949289,115,,221606,269134,0,486258,35558,419173,1172084,133818,263877,2481896,233262,0.3191,0.557,0.3577,,1.656,0.6423,2.8976,3378.5301,0.5406,0.0185,1.3252,0.7082,0.8109,38.2485,10.8439,-0.1224,0
Agriculture - Dairy,-644364,90771,125890,163660,23201,134051,485267,277953,1716,48627,307510,109134,177757,,48627,398870,611157,183265,83546,368724,-37770,0.8288,1.8789,0.6526,0.1219,1.678,0.3474,0.7315,78.1185,0.8191,0,0.7692,,0.206,75.3824,29.5977,-0.0287,0
Agriculture - Other,-644364,2451625,1063339,959632,95410,322182,1465720,784022,22124,425889,1465720,291761,0,71903,504706,446630,2529059,709353,676167,3235647,103707,0.6662,0.7271,0.421,0.4,2.0663,0.579,0.4542,14.5625,0.3357,0,1.1081,0.0749,0.4204,24.2308,9.0171,-0.134,1
Manufacture,2114,1928722,1149473,1495788,156556,245717,786413,956132,61896,306363,786413,27265,0,749659,355382,84578,1935886,1381441,342078,2884854,-346315,16.3068,0.0458,0.0438,3.6164,0.5693,0.9562,0.1779,3.9698,0.1643,0.0011,0.7685,0.5026,0.5938,33.1432,0.9451,1.9408,0
Construction,364012,42415,3319068,37659,4531,123191,9141,669086,1,,6372,120096,0,37,807976,-4154796,3328210,807976,691378,711501,3281409,0.3255,2.9358,0.7459,,0.0079,0.2541,0.1525,6086.438,3.2712,0.1094,14.2506,6.9,0.9973,94.0387,16.8793,-0.0801,0
Services_SupportAdmin,22022,3268386,852278,832759,12607,186567,12705,565256,16340,,12705,119874,0,816950,2542,15855,864982,,,3833643,19519,,0.0355,0.0343,,,0.9657,,11.4178,0.224,0.0255,1.0234,1.0075,0.9853,14.7446,3.1269,-0.3164,0
